,corrected
0,"No, era por saber si tenía que llevar un saco con el símbolo del dólar"
1,"¿A quién le importa? No, lo pregunto de verdad"
2,Pero voy a dar por hecho que ha pedido refuerzos
3,¿Por qué no te callas? Tengo que pensar
4,"Sí, sospechábamos un poco"
5,Esto es ridículo. ¿En serio saldremos a jugar contra los North así vestidos?
6,Francamente no
7,"David, Rey, Keita, Benny"
8,"""Y si lo llevas a uno de esos lugares de empeño. En cada dos cuadras hay un sujeto con un cartel que dice:""""compramos oro"""". Mucha gente lo hace"""
9,"No, Lana. ¡Qué va!"
10,Y como es lógico voy a guardar mi pistola en la caja fuerte hasta que acabe la partida
11,"¿Oh, para mí? Oh, dios mío, allí está, el viejo Parches con su carita de felicidad. Gracias Villi, significa mucho para mí. Villi, esa corbata que usas, no sé de dónde la sacaste pero es superguay"
12,"Lo siento, mi papá está tomándose el sarcasmo bol profesional muy en serio"
13,No
14,¿No ves qué este deporte le hizo a su padre? ¿Acaso quieres terminar como él?
15,"Estaba allí en el cochecito, me puse una copa, llamó mi peletero, por cierto, me roba descaradamente. Llamé a la inmigración para intentar que le deportaran a su padre. Me puse otra copa, pero no quedaba hielo, así que, ¡ah!"
16,Jackson atrapa el balón. Está corriendo por la meta y uh.
17,"El marcador está cero a cero, mientras los Atines avanzan a los Broncos"
18,¿Dónde está qué? ¿Te han tirado la cadena?
19,"Ha, porque necesitas ayuda con la niña y no quieres llamar a Lana y vienes a pedirnos ayuda"
20,¿Qué?
21,¿Eh?
22,"Lana, tranquila, no beberé en tu ausencia y tomo esto muy en serio"
23,"Y su identificación, por favor"
24,"La primera línea cubrirá los huecos. Dile que te gustan sus uniformes. Cuide, Token, abracen a esos jugadores"
25,"Por favor, le han disparado"
26,Pásalo bien y ojalá que sufras de violencia homófoba
27,"Sí llevo pipa, hombre no"
28,"Sí, Lana, en serio. ¿Por qué mi madre no es apta para criar a AJ?"
29,Llévanos solo él y préstame una camisa
30,"Es la mejor, es muy listo. Se aprovecha de mis precios bajos"
31,¿Es que estás de su lado? Ese cabrón ha amenazado a hacer daño a AJ. Que ahora que lo pienso es la culpable de todo esto...
32,"Sí, sí, ya nos cansamos de que nuestros niños se golpeen en el campo y se lastimen. Hagamos el sarcasmo bol el deporte oficial en todas las escuelas"
33,"Eh, ya está bien"
34,Me ha puñado literalmente por la espalda
35,"Literalmente, por la espalda, puñalada"
36,"Sheili tiene trece? Claro, claro, cielos. Villi, alguna vez te conté que tuve un pastor escocés llamado Patios?"
37,¿Para criar a mi hija?
38,Es la misma corbata que tenía el Rey Enrique V
39,Se acabó. Debería irme a casa y olvidarme de lo que este deporte me ha hecho. ¡Qué miles de personas jueguen el sarcasmo bol y terminen como yo!
40,"Vamos gente, veamos a esa regla de las patadas y regresemos al futbol"
41,Así es justo cómo murió Brea
42,"No, mis compañeros lo inventaron para que Slate me llevara a usted y que usted me trajera aquí"
43,Sí
44,Te lo dije
45,Y pierde unos quilicos
46,"Brandy, primero permíteme agradecerte por tomar un juego que amamos y convertirlo en una pesadilla. ¡Muy bien hecho!"
