Locutor;Locución;Sarcasmo
archer;No, era por saber si tenía que llevar un saco con el símbolo del dólar;Si
archer;A quién le importa? No, lo pregunto de verdad;No
archer;Pero voy a dar por hecho que ha pedido refuerzos;No
malory;¿Por qué no te callas? Tengo que pensar;No
slater;Sí, sospechábamos un poco;No
kyle;Esto es ridículo. ¿En serio saldrémos a jugar contra los Norths así vestidos?;No
archer;Francamente no;No
ray;David, Key, Keith, Kenny;No
kyle;"""Y si lo llevas a uno de esos lugares de empeño. En cada dos cuadras hay un sujeto con un cartel que dice: """"compramos oro"""". Mucha gente lo hace""";No
archer;No, Lana. ¡qué va!;No
ray;Y como es lógico voy a guardar mi pistol en la caja fuerte hasta que acabe la partida;No
abuelo;Oh, para mí? Oh, dios mío, allí está, el viejo Patches con su caríta de felizidad. Gracias Villy, significa mucho para mí. Villy, esa corbata que usas, no sé de dónde la sacaste pero es supergay;No
stan;Lo siento, mi papá está tomándose el sarcasmobol profesional muy en serio;No
todos;No;No
madre de stan;¿No ves qué este deporte le hizo a su padre? ¿Acaso quieres terminar como él?;No
malory;Estaba allí en el cochecíto, me puse una copa, llamó mi peletero, por cierto, me roba descaradamente. Llamé a la imigración para intentar que le deportaran a su padre. Me puse otra copa, pero no quedaba hielo, así que, ¡ah!;No
animador;Jackson atrapa el balón. Está corriendo por la meta y uuh.;No
animador;El marcador está cero a cero, mientras los Stines avanzan a los Broncos;No
cheryl;¿Dónde está qué? ¿Te han tirado la cadena?;No
cyril;Aha, porque necesitas ayuda con la niña y no quieres llamar a Lana y vienes a pedirnos ayuda;No
archer;Qué?;No
butters;¿Eh?;No
archer;Lana, tranquila, no beberé en tu ausencia y tomo esto muy en serio;No
guardia;Y su identificación, por favor;No
butters;La primera línea cubrirá los huecos. Díle que te gustan sus uniformes. Clyde, Token, abracen a esos jugadores;No
criminal;Por favor, le han disparado;No
cheryl;Pásalo bien y ojalá que sufras de violencia homófoba;No
archer;Sí llevo pipa, hombre no;No
archer;Sí, Lana, en serio. ¿Por qué mi madre no es apta para criar a AJ?;No
slater;Llévanos solo él y prestame una camisa;No
dependiente de oro;Es la mejor, es muy listo. Se aprovecha de mis precios bajos;No
archer;Es que estás de su lado? Ese cabrón ha amenazado a hacer daño a AJ. Que ahora que lo pienso es la culpable de todo esto...;No
randy;Sí, sí, ya nos cansamos de que nuestros niños se golpeen en el campo y se lastimen. Hagámos el sarcasmobol el deporte oficial en todas las escuelas;Si
lana;Eh, ya está bien;No
archer;Me ha puñado literalmente por la espalda;No
archer;Literalmente, por la espalda, puñalada;No
abuelo;Shelly tiene trece? Claro, claro, cielos. Villy, alguna vez te conté que tuve un pastor escocés llamado Paties?;No
lana;¿Para criar a mi hija?;No
stan;Es la misma corbata que tenía el Rey Enrique V;No
randy;Se acabó. Debería irme a casa y olvidarme de lo que este deporte me ha hecho. ¡Que miles de personas juegen el sarcasmobol y terminen como yo!;Si
randy;Vamos gente, veamos a esa regla de las patadas y regresemos al futbol;No
cyril;Así es justo cómo murió Bret;No
criminal;No, mis compañeros lo inventaron para que Slater me llevara a usted y que usted me trajera aquí;No
todos;Sí;No
archer;Te lo dije;No
conway;Y pierde unos kilítos;No
animador;Randy, primero permiteme agradecerte por tomar un juego que amamos y convertirlo en una pesadilla. ¡Muy bien hecho!;No
stan;Cielos, mi abuelo pagó seis mil dólares para algo que casi no tiene valor algúno. Cómo, cómo puede ocurrir algo semejante?;No
archer;Vale;No
archer;Vale, sí, ten cuidado. ;No
cheryl;Y ha venido un tal señor Ley para verla;No
